obsid, lonstart, lonend, wavenum, wavepower, fap,date,normedpeakwavepower
jcf109114,165,526, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 6.581717451523545 4.587257617728532 6.182825484764542 8.57617728531856 6.9806094182825476 3.789473684210526 2.9916897506925206 ], [1.307830603848671 1.3049610462582806 0.8343803944447739 0.8343736468816618 0.8272665966190752 0.8271951096111476 0.8215236870347387 0.8107640359991776 0.7894799599119344 0.7894580334635938 0.7865583381991909 0.7546740122350715 0.7544678478087621 0.7432635700599841 0.7432458742725389 ], [1.2173077430578142e-130 4.298050606805272e-126 9.638480116227575e-117 4.0197740331743915e-102 9.223643972945328e-82 5.548108367080207e-56 7.907167231222961e-28 8.761977762127767e-16 4.221040978892659e-14 1.4916862121961362e-13 1.1138083025692488e-11 2.962942924595928e-07 7.317202548625912e-07 1.3845599165226087e-06 6.992095219255325e-05 ],10-Jun-30,0.160120153
jcf160163,273,634, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 6.182825484764542 6.581717451523545 8.57617728531856 4.188365650969529 10.570637119113572 8.177285318559557 10.969529085872576 4.587257617728532 ], [1.1858588288549752 1.1816035277429195 0.7522735316807105 0.7521189083082587 0.7433622771185388 0.7432930008817858 0.7415757457295139 0.730612553952007 0.7089894845413184 0.7089696277355654 0.7063323932403127 0.6743721483543725 0.6742893514704633 0.664134543712784 0.6641275929667766 ], [6.884989086738569e-102 1.1602730125598648e-98 5.833217807473974e-92 2.3902979082072718e-81 2.8295317556994274e-66 1.6189071686257516e-46 1.2615156475747667e-23 2.8289589296253303e-13 7.501579106834509e-13 7.820249868650762e-12 1.2184819063017225e-10 8.195209398962914e-10 6.2154829414905555e-09 3.693416881903482e-08 7.932893875832448e-08 ],10-Jun-30,0.145186919
jcf165170,352,714, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 6.5635359116022105 6.165745856353592 4.176795580110498 6.961325966850828 4.574585635359116 10.541436464088397 3.7790055248618786 10.143646408839778 ], [1.1292666376104075 1.1248140153542978 0.7128490004413416 0.7126916071611022 0.7038015277607285 0.701975972149974 0.7015109131683652 0.6921399774786533 0.6690900872914379 0.6690843588793487 0.6665688299079491 0.6327299057548658 0.6323051885313594 0.6228638927220611 0.6228587534979781 ], [1.4786247481907018e-91 1.5015234034507998e-88 2.4465524413759232e-82 1.3644441216810806e-72 6.045825023717849e-59 3.255765834363372e-41 2.0563606982243297e-20 1.412088148078827e-19 1.8050499907622274e-16 1.1260045182019741e-15 1.2592156762649556e-11 1.2707662737368692e-11 3.5159255845144474e-09 1.4095789893062603e-08 1.5392854250088699e-07 ],10-Jun-30,0.138258231
jcf109114,165,526, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 4.188365650969529 6.581717451523545 4.587257617728532 6.182825484764542 8.57617728531856 6.9806094182825476 3.789473684210526 2.9916897506925206 ], [1.307830603848671 1.3049610462582806 0.8343803944447739 0.8343736468816618 0.8272665966190752 0.8271951096111476 0.8215236870347387 0.8107640359991776 0.7894799599119344 0.7894580334635938 0.7865583381991909 0.7546740122350715 0.7544678478087621 0.7432635700599841 0.7432458742725389 ], [1.2173077430578142e-130 4.298050606805272e-126 9.638480116227575e-117 4.0197740331743915e-102 9.223643972945328e-82 5.548108367080207e-56 7.907167231222961e-28 8.761977762127767e-16 4.221040978892659e-14 1.4916862121961362e-13 1.1138083025692488e-11 2.962942924595928e-07 7.317202548625912e-07 1.3845599165226087e-06 6.992095219255325e-05 ],10-Jun-30,0.160120153
jcf160163,273,634, [0.19944598337950137 0.5983379501385041 0.997229916897507 1.3961218836565095 1.7950138504155124 2.193905817174515 2.5927977839335177 6.182825484764542 6.581717451523545 8.57617728531856 4.188365650969529 10.570637119113572 8.177285318559557 10.969529085872576 4.587257617728532 ], [1.1858588288549752 1.1816035277429195 0.7522735316807105 0.7521189083082587 0.7433622771185388 0.7432930008817858 0.7415757457295139 0.730612553952007 0.7089894845413184 0.7089696277355654 0.7063323932403127 0.6743721483543725 0.6742893514704633 0.664134543712784 0.6641275929667766 ], [6.884989086738569e-102 1.1602730125598648e-98 5.833217807473974e-92 2.3902979082072718e-81 2.8295317556994274e-66 1.6189071686257516e-46 1.2615156475747667e-23 2.8289589296253303e-13 7.501579106834509e-13 7.820249868650762e-12 1.2184819063017225e-10 8.195209398962914e-10 6.2154829414905555e-09 3.693416881903482e-08 7.932893875832448e-08 ],10-Jun-30,0.145186919
jcf165170,352,714, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 6.5635359116022105 6.165745856353592 4.176795580110498 6.961325966850828 4.574585635359116 10.541436464088397 3.7790055248618786 10.143646408839778 ], [1.1292666376104075 1.1248140153542978 0.7128490004413416 0.7126916071611022 0.7038015277607285 0.701975972149974 0.7015109131683652 0.6921399774786533 0.6690900872914379 0.6690843588793487 0.6665688299079491 0.6327299057548658 0.6323051885313594 0.6228638927220611 0.6228587534979781 ], [1.4786247481907018e-91 1.5015234034507998e-88 2.4465524413759232e-82 1.3644441216810806e-72 6.045825023717849e-59 3.255765834363372e-41 2.0563606982243297e-20 1.412088148078827e-19 1.8050499907622274e-16 1.1260045182019741e-15 1.2592156762649556e-11 1.2707662737368692e-11 3.5159255845144474e-09 1.4095789893062603e-08 1.5392854250088699e-07 ],10-Jun-30,0.138258231
jcf159164,164,524, [0.19999999999999998 0.5999999999999999 1.0 1.4 1.8 2.1999999999999997 2.5999999999999996 2.9999999999999996 4.6 4.2 6.6 6.2 8.599999999999998 7.0 5.0 ], [1.3823793629470877 1.3605673863896965 0.8974578109773083 0.8969027189300892 0.8914006226349744 0.8913909660069408 0.8836913815463985 0.8733108392722764 0.8524727535222792 0.8524472559502719 0.849459999413698 0.8182793450533931 0.8176479389931799 0.805907061879006 0.8058973667841729 ], [1.8979335119604362e-163 7.998076673367414e-157 1.857150498016137e-143 2.19246129685989e-123 1.1635022969638408e-97 2.3172586462591657e-69 6.179167998329826e-41 3.753340013920871e-14 7.739755963144482e-11 1.091018611819706e-09 4.652422108645116e-09 3.993335869973554e-07 6.902911438689054e-06 1.251859536177842e-05 2.09881944631755e-05 ],10-Jun-30,0.169247297
jcf164169,271,631, [0.19999999999999998 0.5999999999999999 1.0 1.4 1.8 2.1999999999999997 2.5999999999999996 4.2 4.6 6.6 6.2 8.599999999999998 8.999999999999998 8.2 10.6 ], [1.29848026972759 1.284188388904493 0.8329527408111201 0.8325634921105404 0.8232637413882483 0.8232470441293935 0.821478360715149 0.8096932221603337 0.7862390647730637 0.7862145855612507 0.7833746168593605 0.7483162019817986 0.7479435542341641 0.7369536437562316 0.7369517877397224 ], [3.0028133775055267e-130 2.6925036151173726e-125 2.91417340874023e-115 5.820416651999907e-100 1.591635579528911e-79 5.0301729676613824e-55 1.1702231582161696e-28 5.894802454455321e-14 7.651091196750166e-13 2.1388429358398068e-12 1.3726227306095655e-10 6.522013209275119e-10 1.0511553168175372e-06 3.5426779959941608e-06 4.181716868410163e-06 ],10-Jun-30,0.158975374
jcf115120,162,524, [0.19889502762430938 0.5966850828729282 0.994475138121547 1.392265193370166 1.7900552486187846 2.187845303867403 2.585635359116022 4.574585635359116 4.176795580110498 2.9834254143646404 6.5635359116022105 6.165745856353592 6.961325966850828 4.972375690607735 8.552486187845304 ], [1.4133599533983894 1.4004648868547633 0.8935084138248996 0.8931543394128852 0.8910045881929056 0.8908224459541512 0.8770664310437367 0.8677528172557245 0.8497222678952321 0.8497016731456573 0.8465344113327683 0.8210098675389946 0.8206137918412536 0.8082729711932537 0.8082716234316292 ], [4.6171864248672905e-160 2.2650134540071037e-154 8.908580664122816e-143 4.991797124867473e-125 3.1853963180045535e-101 3.023049338426473e-72 5.8630863687648065e-40 2.1378538260791616e-13 4.313628252413019e-12 6.595653757611103e-11 4.798402635443734e-10 5.086167498602702e-07 5.6383959992467e-06 1.1715676463946118e-05 0.00015512964255281632 ],10-Jun-30,0.173040309
jc02070209,385,446, [10.62295081967213 8.262295081967212 5.901639344262295 3.540983606557377 1.180327868852459 12.983606557377051 15.344262295081968 24.78688524590164 27.14754098360656 22.426229508196723 17.70491803278689 38.950819672131146 29.508196721311474 36.59016393442623 50.75409836065574 ], [8.167807632280262 5.361795124737492 0.9180319252170654 0.9142937320843766 0.9022661175725266 0.896306187933827 0.8956037524797701 0.8952866585107149 0.8934829494494405 0.8771927548652148 0.876831773904227 0.8749177431067321 0.8658472249465842 0.8645254659250268 0.8249895074639325 ], [5.190999568435732e-26 5.4228599036040174e-24 1.63121502084431e-19 6.112841483145647e-17 7.840695047926582e-16 1.5913115357915012e-14 0.0013710016268253383 0.9840347970436965 0.9984537385841162 0.9999999999073091 0.999999999997878 0.9999999999999999 1.0 1.0 1.0 ],10-Dec-01,1
