obsid, lonstart, lonend, freq, power, fap
/home/jchakrab/fits/pipeline_nostitch/jcf041046_corrected_cmap.fits, 212, 442, [0.3130434782608696 0.9391304347826087 1.565217391304348 2.191304347826087 2.8173913043478263 9.704347826086957 10.330434782608696 3.4434782608695658 9.078260869565216 10.956521739130434 19.721739130434784 4.069565217391304 20.347826086956523 19.095652173913045 6.573913043478261 ], [0.5281458398143706 0.5171213767810291 0.49353775715276677 0.45394398757005117 0.3923250207641613 0.3865351007587256 0.3633805132611649 0.29906444836202073 0.26941022248433366 0.22522857680459948 0.1777453754850996 0.16681478445632017 0.13536107954912846 0.13281352614514494 0.09904434591335962 ], [4.375227249382902e-34 5.954538378831842e-33 1.3037592945864722e-30 6.417600039427125e-27 1.1116855479131517e-21 3.2373433548084656e-21 2.1038668638342989e-19 1.0588274102814606e-14 1.1082745261497058e-12 7.94358559133024e-10 6.034469357536357e-07 2.6170447765747134e-06 0.00015812777407126817 0.00021872163658085013 0.014328598672901819 ]
/home/jchakrab/fits/pipeline_nostitch/jcf207212_corrected_cmap.fits, 359, 595, [0.3050847457627119 0.9152542372881356 1.5254237288135595 2.135593220338983 2.745762711864407 3.3559322033898304 9.457627118644067 10.067796610169493 3.9661016949152548 8.847457627118645 10.677966101694917 6.40677966101695 13.11864406779661 4.576271186440678 7.016949152542373 ], [0.7298755536416539 0.7177995412403932 0.6909667498398695 0.6433270422915615 0.5652875267825413 0.44813489536473944 0.31468235768203756 0.29654098966269954 0.28825625356637197 0.2053220478431568 0.1673194545583162 0.12940801873037686 0.1230845559523658 0.10588454381015533 0.09759840067635506 ], [3.3724824483840595e-63 5.458945968206288e-61 2.1109190914355603e-56 3.654545282295494e-49 3.5142233282616034e-39 3.701743444205772e-27 2.815355339353292e-16 5.735294013250354e-15 2.212031533275193e-14 7.0422270487259606e-09 1.4680727649223133e-06 0.0002309944321511282 0.000523395751794088 0.00465630399525891 0.013039171548044605 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0038900398_corrected_cmap.fits, 186, 412, [7.327433628318585 7.964601769911504 0.3185840707964602 0.9557522123893805 1.592920353982301 6.690265486725664 2.230088495575221 2.8672566371681416 8.601769911504425 9.238938053097346 3.504424778761062 18.79646017699115 19.43362831858407 18.15929203539823 9.876106194690266 ], [0.34550208679149497 0.3084737760888072 0.2839826922972895 0.2812169569776418 0.27533322865573434 0.2751556802166217 0.26483214766025925 0.2435171824906627 0.23795385952970444 0.19582452013385804 0.19161881609568404 0.18371169674552226 0.16621942227598452 0.15498561433286082 0.15187709465499213 ], [1.0816352225048015e-17 4.724614100717587e-15 2.1964287115883686e-13 3.359521669678795e-13 8.250042296599013e-13 8.475764460024495e-13 4.024251696629546e-12 9.342687619519354e-11 2.0905982192387549e-10 7.650330456866024e-08 1.3538056803527657e-07 3.924297819164524e-07 3.969696625172136e-06 1.7046710080988443e-05 2.5412600048059777e-05 ]
/home/jchakrab/fits/pipeline_nostitch/j0349_corrected_cmap.fits, 39, 278, [0.301255230125523 0.9037656903765691 1.506276150627615 2.1087866108786613 6.3263598326359824 2.711297071129707 6.928870292887028 5.7238493723849375 3.3138075313807533 9.941422594142258 7.531380753138075 10.543933054393305 9.338912133891213 3.916317991631799 5.121338912133892 ], [0.5233936225731456 0.5116745893611498 0.48715837887803576 0.44785562915282856 0.42723202981693953 0.39001793501318766 0.36377440359080543 0.33557346865721155 0.30036763882096573 0.21590428756393382 0.18471593545005532 0.17059129129778106 0.16554129452479058 0.15917608938562028 0.13690237743192643 ], [5.125106510320959e-35 8.904818631273209e-34 2.8137880609651682e-31 1.6414140035634694e-27 1.214118077955096e-25 1.9516488113359537e-22 2.716317629606637e-20 4.356036651671118e-18 1.8236308713090806e-15 1.0719385851449735e-09 9.890295158573679e-08 7.214052493053059e-07 1.4545712720425011e-06 3.4966144776489433e-06 7.092310355990407e-05 ]
/home/jchakrab/fits/pipeline_nostitch/cal_jc01260131_corrected_cmap.fits, 58, 293, [0.3063829787234042 0.9191489361702125 1.531914893617021 2.1446808510638293 2.757446808510638 3.3702127659574463 3.982978723404255 4.595744680851063 13.174468085106382 12.561702127659574 13.787234042553191 7.0468085106382965 11.948936170212763 6.434042553191488 7.659574468085104 ], [0.8132547499069783 0.8082786923765 0.7961713019610681 0.772069434538762 0.7280489883851476 0.6539451728101466 0.5215734477427887 0.2899331090776593 0.16824486976557668 0.16030951846995692 0.12105063070258035 0.11787136964842133 0.10814420580649849 0.08956047908189109 0.08872820358772 ], [1.7238664783863349e-81 3.630666107043772e-80 4.382523266395234e-77 1.8423459219595717e-71 1.4075007666564213e-62 1.840931987498121e-50 3.4174500379045985e-34 1.987816122592342e-14 1.4093007984523447e-06 4.138759861590693e-06 0.0007206465113204666 0.0010808419794176767 0.003689577547813668 0.03612772479277299 0.03990246977867287 ]
/home/jchakrab/fits/pipeline_nostitch/jcf00430052_corrected_cmap.fits, 323, 539, [0.33333333333333326 0.9999999999999997 1.6666666666666665 2.3333333333333326 2.9999999999999996 3.666666666666666 7.666666666666666 6.999999999999999 4.333333333333332 8.33333333333333 6.333333333333332 10.999999999999998 10.33333333333333 11.666666666666664 8.999999999999998 ], [0.6349650804947069 0.6285688113566915 0.6144782108090534 0.5891340179153367 0.5422115303314995 0.4432793151992127 0.35832709871606605 0.34086691471025554 0.2567485449843594 0.2503970486786998 0.20374079134081424 0.1641626632511431 0.14159341607865597 0.1183754639711605 0.11568719098561543 ], [1.1263189801495228e-43 7.1268083537222374e-43 3.716536329669736e-41 3.205193185003326e-38 3.087270161775439e-33 3.129076984173582e-24 1.0417512360309e-17 1.7727521776743338e-16 5.526572508624689e-11 1.350801371359816e-10 7.561415432545058e-08 1.1895620625059456e-05 0.0001886205849461892 0.0029547376945454474 0.004037540962341706 ]
/home/jchakrab/fits/pipeline_nostitch/jcfF139148_corrected_cmap.fits, 10, 254, [0.29508196721311475 0.8852459016393444 1.4754098360655739 2.0655737704918034 2.655737704918033 3.2459016393442623 9.147540983606557 9.737704918032787 8.557377049180328 3.8360655737704925 6.196721311475409 6.786885245901639 12.688524590163937 15.639344262295083 7.967213114754098 ], [0.5455869684240077 0.5370044520625492 0.5183573482685409 0.48584295780288844 0.43050736618509367 0.3337505407161778 0.29401751170161095 0.2377632686051341 0.2352590507675504 0.18473861964553046 0.1483602238014813 0.13031847774345687 0.12983783450449335 0.12561954110739168 0.11948475843226364 ], [2.704221429707327e-38 2.557335512338871e-37 2.9272818138255306e-35 7.43171961283722e-32 1.5635584446619044e-26 2.2427284086523384e-18 2.2630100088835962e-15 2.0929009028558513e-11 3.091001301021772e-11 6.101233754116555e-08 1.0528860691470492e-05 0.00012339049722388855 0.0001316413371109699 0.00023188963287875154 0.0005250981208059931 ]
/home/jchakrab/fits/pipeline_nostitch/jc125_corrected_cmap.fits, 319, 578, [0.277992277992278 0.8339768339768339 1.3899613899613898 1.9459459459459456 2.501930501930502 3.057915057915058 5.837837837837837 11.953667953667953 3.6138996138996133 9.173745173745173 8.617760617760617 12.50965250965251 6.3938223938223935 11.397683397683398 5.281853281853282 ], [0.7290279420890872 0.7166846348034293 0.6893491602967445 0.64079792602066 0.5594179813780032 0.42783684883472056 0.2511875754095737 0.24969667286021427 0.23713051761310214 0.22145998033256528 0.2107933995287461 0.20358577968446417 0.20245428912584196 0.1688109782159945 0.16124776544167513 ], [1.6798988491638924e-69 4.9867247925824594e-67 6.451802304349591e-62 7.350439071182707e-54 1.5448428280114356e-42 4.5476755777879785e-28 3.157811788094547e-13 4.0612922428512204e-13 3.3171593930911388e-12 4.327673507968467e-11 2.4098443026958386e-10 7.5826095739222e-10 9.068403313868968e-10 1.6403651876341767e-07 5.111268018786412e-07 ]
/home/jchakrab/fits/pipeline_nostitch/jcf589596_corrected_cmap.fits, 198, 422, [0.32142857142857145 0.9642857142857143 1.6071428571428574 2.25 2.8928571428571432 3.5357142857142865 4.178571428571429 6.75 7.392857142857143 6.107142857142858 17.03571428571429 13.821428571428573 13.17857142857143 10.607142857142858 9.964285714285715 ], [0.745433937270705 0.7348151035450948 0.7113831003957182 0.669685666322576 0.5982186632357477 0.47473782134622966 0.2793961495851 0.21995489755006625 0.19641897829900698 0.1265574263993185 0.11766710848228577 0.1138870826219637 0.10574129373940883 0.09736786272336712 0.09552186566397686 ], [1.154568389265406e-62 1.0483111268473144e-60 1.1936277064300334e-56 3.4648386579697247e-50 8.214371721431645e-41 5.309845230464168e-28 6.080146940147209e-13 3.4335783212714105e-09 8.664270786721846e-08 0.0006962955667679104 0.0020543832327958467 0.003239596948376866 0.00855781820115638 0.022833820810519777 0.028265954829033112 ]
/home/jchakrab/fits/pipeline_nostitch/jc013024_corrected_cmap.fits, 203, 508, [0.23606557377049178 0.7081967213114753 1.180327868852459 1.6524590163934425 2.124590163934426 5.429508196721311 4.9573770491803275 2.5967213114754095 8.262295081967212 5.901639344262294 7.790163934426229 4.485245901639344 3.0688524590163926 8.734426229508196 7.3180327868852455 ], [0.6012136451395286 0.5933209298577392 0.5752584100527183 0.5415242316565572 0.4806381072690894 0.44400839981670587 0.4323571453253082 0.3711940102825414 0.29925577579455126 0.28064600599912776 0.2648836212565287 0.2589697645155 0.1974486992110392 0.194931326219407 0.12773186164186986 ], [3.863114810722462e-57 7.401333736479124e-56 5.15722401673285e-53 5.143130839755966e-48 7.286867250982454e-40 2.0637234473851549e-35 4.665810890219032e-34 2.2206440474921943e-27 2.5303546562726793e-20 1.282613270346974e-18 3.288336004131832e-17 1.0902561292319748e-16 1.6173863451859605e-11 2.5787370440769486e-11 3.775898953825247e-06 ]
/home/jchakrab/fits/pipeline_nostitch/junk_corrected_cmap.fits, 31, 254, [0.32286995515695066 0.9686098654708519 1.6143497757847534 2.2600896860986546 2.905829596412556 3.5515695067264574 4.197309417040358 4.84304932735426 7.4260089686098665 6.780269058295964 8.071748878923767 10.654708520179373 11.300448430493274 10.008968609865471 17.112107623318384 ], [0.9318304667805145 0.9294211545883653 0.9228625063966608 0.9074503425254136 0.8717374148005579 0.7866068835006294 0.5965109570867596 0.2869222854454455 0.1746312835480348 0.12754529240623766 0.1197152977801895 0.09503375528205835 0.07510013495535639 0.05800905415037379 0.051162718942246214 ], [2.897438299784683e-125 1.3204367607479624e-123 2.3130654867706588e-119 1.1549287430218226e-110 4.401596909210368e-95 8.712684872214044e-71 2.049987934628046e-40 2.2721724154583025e-13 1.717465508614244e-06 0.000656124418978149 0.0016976118628451629 0.03120662592151492 0.2663018742303445 0.8699333792168058 0.9857189360289322 ]
/home/jchakrab/fits/pipeline_nostitch/jcf03350340_corrected_cmap.fits, 176, 444, [0.2686567164179105 0.8059701492537316 1.3432835820895523 1.8805970149253737 2.4179104477611943 5.641791044776119 5.1044776119402995 2.9552238805970155 6.179104477611941 8.865671641791046 8.328358208955224 11.552238805970154 12.089552238805974 11.01492537313433 9.402985074626868 ], [0.6031459987840968 0.5889315098367007 0.5576221383940214 0.5025922978298263 0.41232647132497335 0.3663710726695372 0.2956885957520478 0.27624553659109136 0.2678048321340617 0.24893974107344835 0.23267800484304907 0.2111025174421419 0.1671106299614023 0.13888264156304136 0.13497724647892148 ], [4.078370004424796e-50 4.2693608536333e-48 6.958203024611546e-44 3.687433505990358e-37 1.3178857186303492e-27 2.671924996729846e-23 2.9240304392454104e-17 1.0428747548679887e-15 4.772138834989158e-15 1.338768501177434e-13 2.2114132788106014e-12 8.302953558341561e-11 9.797121204057931e-08 7.393900712741454e-06 1.3276030124209574e-05 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0004100050_corrected_cmap.fits, 350, 595, [0.2938775510204082 0.8816326530612246 1.469387755102041 2.0571428571428574 2.6448979591836737 6.171428571428571 3.23265306122449 5.583673469387755 9.69795918367347 6.759183673469388 9.110204081632652 3.820408163265307 10.285714285714286 12.636734693877553 8.522448979591838 ], [0.622232944481813 0.6085682841458953 0.5790362463208675 0.5286407109422383 0.447938789233545 0.33456980534030106 0.32162294264466185 0.26180405743615537 0.25502851371745944 0.24781400667949208 0.23493426136699277 0.14820795522739838 0.1475522539834972 0.13095377593357954 0.10234541036138974 ], [3.8411213578908695e-48 2.7983446076895636e-46 1.8127347839846318e-42 1.515509935444823e-36 2.814834923873916e-28 1.5887418400844896e-18 1.6035869409832812e-17 3.991922217232177e-13 1.190193893996262e-12 3.7656929938245494e-12 2.8605791023300287e-11 9.983095710742037e-06 1.0932996738424063e-05 0.00010621936179099408 0.004717710736031061 ]
/home/jchakrab/fits/pipeline_nostitch/j0433_corrected_cmap.fits, 465, 707, [0.29752066115702475 0.8925619834710744 1.4876033057851237 2.0826446280991733 2.6776859504132227 3.2727272727272725 3.8677685950413223 9.223140495867767 9.818181818181817 6.247933884297519 6.84297520661157 12.793388429752065 15.768595041322312 12.198347107438014 8.628099173553718 ], [0.7419363925147363 0.7302577132005355 0.7044315140023436 0.6588378229086232 0.5834449484612889 0.4637068393722166 0.28620098770675634 0.19895080614479782 0.19077922357050855 0.16389741284244058 0.1342890137442363 0.1341942620787663 0.12807849813959538 0.11156626711770977 0.11089616999240427 ], [2.964557544796538e-67 5.82877311987896e-65 3.18417913070743e-60 8.583226376514051e-53 1.8590746861627314e-42 2.1485758474936055e-29 1.1645328130056796e-14 9.379159050955557e-09 3.0888473693436036e-08 1.4217987772006085e-06 8.234159208089288e-05 8.339610158511568e-05 0.00018893013939424335 0.001658319476021613 0.001809077066934243 ]
/home/jchakrab/fits/pipeline_nostitch/jcf05350544_corrected_cmap.fits, 268, 622, [0.23376623376623376 0.7012987012987013 1.1688311688311688 1.6363636363636365 5.376623376623376 2.103896103896104 4.909090909090909 2.5714285714285716 5.8441558441558445 4.441558441558442 3.0389610389610393 8.181818181818182 8.64935064935065 7.714285714285714 6.311688311688312 ], [0.5996888766614246 0.5934353693893425 0.578312786355653 0.5478566295796806 0.5002583037189021 0.4894380067193734 0.448338827191893 0.38520521322503676 0.3694639734842221 0.25031186649823334 0.2280378429812736 0.21601161695346688 0.1729872894612166 0.1526804702874912 0.13697591838072468 ], [1.76465894541695e-57 1.8664022702036296e-56 4.832578902495674e-54 1.9543753765661656e-49 7.949908611807765e-43 2.062084232624491e-41 2.6479809742235083e-36 3.683601520905101e-29 1.7046030222732403e-27 4.0797464135847163e-16 3.384506321740605e-14 3.4798443701464535e-13 1.0757980141330224e-09 4.0852182387791125e-08 6.367167046757013e-07 ]
/home/jchakrab/fits/pipeline_nostitch/starcal_jf245246_corrected_cmap.fits, 379, 680, [1.6744186046511629 1.196013289036545 0.7176079734219271 0.23920265780730898 2.1528239202657806 2.6312292358803986 3.109634551495017 3.588039867109635 5.501661129568107 5.023255813953488 5.980066445182725 4.54485049833887 4.0664451827242525 13.156146179401993 13.634551495016613 ], [0.8723819582861164 0.8723178735160286 0.8629667689554487 0.8565408761640542 0.8278016948399952 0.6776662111748887 0.44561083504940985 0.23858589375939127 0.1760995230695131 0.16646052219055996 0.121007680917996 0.10136305334210986 0.09977059579782364 0.06058764405609358 0.0566289878566175 ], [5.350701864777976e-130 5.766089911493868e-130 2.1488921791221957e-125 1.977112054215273e-122 1.2718228463199109e-110 4.268243393989537e-70 4.2664319660585854e-35 1.0655198977425565e-14 1.1626715396985205e-09 6.395852982513174e-09 1.4874558831210705e-05 0.00036660073735743 0.00047348086291914524 0.19015289008259387 0.3171928732810695 ]
/home/jchakrab/fits/pipeline_nostitch/ncal190_corrected_cmap.fits, 478, 706, [0.3157894736842105 0.9473684210526315 1.5789473684210524 2.2105263157894735 2.8421052631578947 3.473684210526315 4.105263157894736 4.736842105263157 7.263157894736841 19.894736842105264 12.94736842105263 6.6315789473684195 13.578947368421051 7.894736842105262 19.263157894736842 ], [0.7839443719059309 0.7779374752014359 0.7641358090062785 0.7380694000387268 0.6902157390049332 0.6000040927184541 0.4314309078782791 0.18523739592399327 0.1543000629740209 0.1347287064067992 0.13055501919879553 0.12239646556999963 0.11764700506387488 0.10680386365222909 0.1051443592215723 ], [7.629799827329848e-72 1.6622011503635956e-70 1.4548090206547014e-67 1.8912440971906191e-62 2.886832526019856e-54 8.262068184578548e-42 1.065016900579129e-24 2.640663040823759e-07 1.5954434238498963e-05 0.00019552510693548553 0.00033070945628405556 0.0009154678194549644 0.0016466239288209959 0.006185464623250137 0.007557274976429596 ]
